"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1307696831","AMBOHINIHAONANA_AMBOHIMIADANA",1875.36477987421,1,-21.2041908707563,47.9325001788971,62
"w1307657026","AMBOHINIHAONANA_AMBOHIMIADANA",1883.02620545073,2,-21.2114364640434,47.9317720593468,5
"w1307419596","AMBOHINIHAONANA_AMBOHIMIADANA",1883.45387840671,3,-21.2099429448927,47.9382755059107,8
"w1307419605","AMBOHINIHAONANA_AMBOHIMIADANA",1899.49895178197,4,-21.2105825889907,47.9309164349536,13
"w1307419599","AMBOHINIHAONANA_AMBOHIMIADANA",1901.95283018868,5,-21.2111899991979,47.936264922377,13
"w932413943","AMBOHINIHAONANA_AMBOHINIHAONANA",1669.68612099644,1,-21.1984786988261,47.9089988002799,397
"w765437196","AMBOHINIHAONANA_AMBOHINIHAONANA",1715.22704626335,2,-21.1942587580738,47.9118295385701,69
"w932413872","AMBOHINIHAONANA_AMBOHINIHAONANA",1763.25480427046,3,-21.193363116941,47.9105194106607,5
"w1305730120","AMBOHINIHAONANA_AMBOHINIHAONANA",1828.1024911032,4,-21.1913621073507,47.9106640591129,9
"w1305730123","AMBOHINIHAONANA_AMBOHINIHAONANA",1859.11814946619,5,-21.1903261731044,47.9096368872063,7
"w1306091993","AMBOHINIHAONANA_AMBOLOLONA",2761.83012820513,1,-21.2633016718356,48.0244508596197,25
"w1306091984","AMBOHINIHAONANA_AMBOLOLONA",2805.98824786325,2,-21.2641551322801,48.0235587622148,15
"w1306091931","AMBOHINIHAONANA_AMBOLOLONA",2809.8952991453,3,-21.2633039878616,48.02610682976,8
"w1306091998","AMBOHINIHAONANA_AMBOLOLONA",2821.09935897436,4,-21.2644031943058,48.0249163824843,35
"w1306091938","AMBOHINIHAONANA_AMBOLOLONA",2926.23290598291,5,-21.2663787669799,48.0313020813689,13
"w1309248086","AMBOHINIHAONANA_AMPASIMADINIKA",1859.40163098879,1,-21.1926084855417,47.8801110172646,201
"w1309248181","AMBOHINIHAONANA_AMPASIMADINIKA",1903.12844036697,2,-21.1925792635944,47.8825991956272,27
"w1309248330","AMBOHINIHAONANA_AMPASIMADINIKA",1938.84709480122,3,-21.1926958694449,47.8844865822498,30
"w1309248323","AMBOHINIHAONANA_AMPASIMADINIKA",2006.31906218145,4,-21.1925204944872,47.8860360062716,25
"w1309248087","AMBOHINIHAONANA_AMPASIMADINIKA",2010.84097859327,5,-21.1944507166298,47.8779741851296,9
"w765450227","AMBOHINIHAONANA_ANDRORANGABE",2051.05815423515,1,-21.199075044936,47.8316057227066,127
"w1308745680","AMBOHINIHAONANA_ANDRORANGABE",2180.84576485461,2,-21.1913061083856,47.8290140103296,9
"w1308745806","AMBOHINIHAONANA_ANDRORANGABE",2191.6384323641,3,-21.1951781264376,47.8232197049489,6
"w1308745816","AMBOHINIHAONANA_ANDRORANGABE",2230.13906447535,4,-21.193817663352,47.820577996053,128
"w1308745737","AMBOHINIHAONANA_ANDRORANGABE",2365.15549936789,5,-21.1980047407847,47.8214891609761,6
"w1307172622","AMBOHINIHAONANA_ANDRORANGAVOLA",1642.88004895961,1,-21.2283518130319,47.9502888893175,6
"w1307216377","AMBOHINIHAONANA_ANDRORANGAVOLA",1675.63525091799,2,-21.2300952723024,47.9534160861983,20
"w1307172607","AMBOHINIHAONANA_ANDRORANGAVOLA",1677.38066095471,3,-21.2282604603913,47.9482647853585,88
"w1307172561","AMBOHINIHAONANA_ANDRORANGAVOLA",1726.06242350061,4,-21.2298586180088,47.9488185811771,26
"w1307172555","AMBOHINIHAONANA_ANDRORANGAVOLA",1748.20440636475,5,-21.2311052648328,47.9513392731763,29
"w1308814941","AMBOHINIHAONANA_ANKALAITRA",2220.745623069,1,-21.1775772455955,47.8687394230632,309
"w1308815053","AMBOHINIHAONANA_ANKALAITRA",2262.76004119464,2,-21.1752532129469,47.8713849268868,7
"w1308815094","AMBOHINIHAONANA_ANKALAITRA",2280.55921730175,3,-21.172549134918,47.8722423688463,5
"w1308815104","AMBOHINIHAONANA_ANKALAITRA",2326.69104016478,4,-21.1667020805615,47.8758309435265,5
"w1308189525","AMBOHINIHAONANA_ANKALAITRA",2352.14418125644,5,-21.1602916957719,47.8715719165153,11
"w1307491195","AMBOHINIHAONANA_ANKAZOTELO",2027.85931558935,1,-21.2266069364692,47.9816599307469,44
"w1307491187","AMBOHINIHAONANA_ANKAZOTELO",2032.92015209125,2,-21.2276983021464,47.9806852353378,7
"w1307491192","AMBOHINIHAONANA_ANKAZOTELO",2042.22940430925,3,-21.2258851963189,47.9822644840221,8
"w1307491123","AMBOHINIHAONANA_ANKAZOTELO",2054.96577946768,4,-21.2295358946982,47.9792952422526,11
"w1307491193","AMBOHINIHAONANA_ANKAZOTELO",2058.26108998733,5,-21.2255225254181,47.9830314453981,33
"w1324085981","AMBOHINIHAONANA_BEMOKA",2029.90762554247,1,-21.2095211764202,48.0087842391512,12
"w1307421871","AMBOHINIHAONANA_BEMOKA",2064.84314941104,2,-21.2079777312804,48.0103051909788,14
"w1307421874","AMBOHINIHAONANA_BEMOKA",2076.77557346559,3,-21.2085505280071,48.0100246914721,5
"w1307421869","AMBOHINIHAONANA_BEMOKA",2080.94792312461,4,-21.2072855357176,48.0103114273384,6
"w1307478901","AMBOHINIHAONANA_BEMOKA",2092.04029758215,5,-21.2090670251413,48.0032352519324,9
"w758218004","AMBOHINIHAONANA_LAVAKIANJA",1869.31303669009,1,-21.284787157732,47.887961851363,301
